Property ID,House,Floor,Rooms,Apartment type,Living space,Base rent,Utility costs,Total rent,Available from,Floor plan
R4-W124,R,4,2,2B,59.85,1655,210,1865,immediately,
R4-W123,R,4,3,3N,77.97,2117,280,2397,immediately,
R4-W122,R,4,3,3H,76.89,1950,275,2225,immediately,
R3-W120,R,3,2,2F,61.67,1485,220,1705,immediately,
R2-W114,R,2,2,2F,61.58,1625,220,1845,immediately,
R2-W111,R,2,3,3N,77.98,1925,280,2205,immediately,
Q4-W094,Q,4,2,2B,59.93,1499,210,1709,immediately,
Q4-W093,Q,4,2,2C,60.39,1499,220,1719,immediately,
Q3-W087,Q,3,2,2C,60.47,1499,220,1719,immediately,
Q3-W086,Q,3,2,2E,61.64,1499,220,1719,immediately,
Q1-W077,Q,1,3,3L,77.75,1899,280,2179,immediately,
Q1-W074,Q,1,2,2E,61.31,1599,220,1819,immediately,
P5-W063,P,5,3,3N,77.84,2117,280,2397,immediately,
P4-W057,P,4,3,3N,77.82,1950,280,2230,immediately,
P4-W056,P,4,3,3H,76.68,1950,275,2225,immediately,
P3-W054,P,3,2,2F,61.63,1625,220,1845,immediately,
P3-W053,P,3,2,2C,60.42,1465,220,1685,immediately,
O4-W030,O,4,3,3G,76.42,2032,270,2302,immediately,
O3-W025,O,4,2,2E,61.84,1479,220,1699,immediately,
O3-W020,O,3,2,2C,60.46,1460,220,1680,immediately,
O2-W014,O,2,2,2C,60.53,1449,220,1669,immediately,
O1-W008,O,1,2,2C,60.16,1479,220,1699,immediately,
O0-W002,O,0,2,2C,60.02,1379,220,1599,immediately,
N5-W132,N,5,4,4A,140.47,3365,500,3865,immediately,
N5-W129,N,5,3,3N,77.85,1999,280,2279,immediately,
N5-W127,N,5,3,3C,72.91,1970,260,2230,immediately,
N4-W121,N,4,3,3C,73.01,1935,260,2195,immediately,
N3-W118,N,3,2,2B,59.89,1480,210,1690,immediately,
N2-W113,N,2,2,2C,60.55,1425,220,1645,immediately,
N2-W110,N,2,3,3H,76.81,1960,275,2235,immediately,
N1-W104,N,1,3,3H,76.39,1899,270,2169,immediately,
N0-W101,N,0,2,2D,60.38,1400,220,1620,immediately,
N0-W099,N,0,3,3N,77.54,1870,280,2150,immediately,
N0-W098,N,0,3,3H,76.22,1870,270,2140,immediately,
M4-W093,M,4,2,2B,60.03,1490,220,1710,immediately,
M4-W091,M,4,2,2E,61.69,1525,220,1745,immediately,
M3-W090,M,3,3,3G,76.45,1980,270,2250,immediately,
M2-W080,M,2,2,2C,60.47,1425,220,1645,immediately,
M2-W079,M,2,2,2E,61.53,1490,220,1710,immediately,
M1-W078,M,1,3,3G,76.18,1899,270,2169,immediately,
M1-W073,M,1,2,2E,61.39,1480,220,1700,immediately,
M0-W069,M,0,2,2B,59.82,1410,210,1620,immediately,
L5-W065,L,5,4,4B,142.52,3385,505,3890,immediately,
L4-W059,L,4,2,2C,60.57,1500,220,1720,immediately,
L4-W056,L,4,3,3H,76.79,1990,275,2265,immediately,
L4-W055,L,4,3,3C,72.89,1890,260,2150,immediately,
L3-W054,L,3,2,2F,61.64,1490,220,1710,immediately,
L3-W053,L,3,2,2C,60.45,1490,220,1710,immediately,
L3-W051,L,3,3,3N,77.89,1990,280,2270,immediately,
L3-W050,L,3,3,3H,76.92,1960,275,2235,immediately,
L2-W048,L,2,2,2F,61.76,1480,220,1700,immediately,
L2-W045,L,2,3,3N,77.92,1980,280,2260,immediately,
L1-W041,L,1,2,2C,60.34,1425,220,1645,immediately,
L1-W039,L,1,3,3N,77.31,1890,275,2165,immediately,
L0-W033,L,0,3,3N,77.19,1870,275,2145,immediately,
K3-W021,K,3,2,2B,59.87,1500,210,1710,immediately,
K3-W019,K,3,2,2E,61.62,1490,220,1710,immediately,
K1-W010,K,1,3,3L,77.79,1980,280,2260,immediately,
K0-W002,K,0,2,2C,60.02,1400,220,1620,immediately,
H2-W113,H,2,2,2C,60.47,1540,220,1760,immediately,
